JavaEETools,0,EclipseIDE,0,RSE,0
EclipseIDE,0,RAP,1,Datatools,1
Mylyn,0,CDT,0,RCP_Platform,0
EclipseIDE,0,EGit,1,CVS,1
JavaEETools,0,EclipseIDE,0,RSE,1
JavaEETools,1,EclipseIDE,0,RSE,0
EclipseIDE,0,RAP,0,Datatools,1
EclipseIDE,0,RAP,1,Datatools,0
MDT,0,BIRT,1,PDE,0
PDE,0,RCP_Platform,0,WebTools,0
EclipseIDE,0,JDT,0,LinuxTools,0
EclipseIDE,0,EGit,0,CVS,0
GMF,1,RAP,0,GEF,0
PDE,1,RCP_Platform,0,WebTools,0
PDE,0,RCP_Platform,0,WebTools,1
JavaEETools,1,EclipseIDE,0,RSE,1
EclipseIDE,0,EGit,0,CVS,1
EclipseIDE,0,EGit,1,CVS,0
Mylyn,1,CDT,0,RCP_Platform,0
Mylyn,0,CDT,1,RCP_Platform,0
Mylyn,1,CDT,1,RCP_Platform,0
BIRT,0,RCP_Platform,0,WebTools,0
EclipseIDE,0,RAP,0,Datatools,0
MDT,1,BIRT,1,PDE,0
EclipseIDE,0,LinuxTools,1,CVS,1
GMF,1,PDE,1,RCP_Platform,0
EclipseIDE,0,LinuxTools,0,CVS,1
EclipseIDE,0,LinuxTools,1,CVS,0
WindowBuilder,1,RCP_Platform,0,Datatools,0
WindowBuilder,0,RCP_Platform,0,Datatools,1
BIRT,1,RCP_Platform,0,WebTools,0
BIRT,0,RCP_Platform,0,WebTools,1
WindowBuilder,0,RCP_Platform,0,Datatools,0
GMF,1,RCP_Platform,0,XMLTools,1
EclipseIDE,0,GMF,0,EMF,0
EclipseIDE,0,LinuxTools,0,CVS,0
WindowBuilder,1,RCP_Platform,0,Datatools,1
GMF,1,PDE,0,RCP_Platform,0
GMF,0,PDE,1,RCP_Platform,0
BIRT,1,RCP_Platform,0,WebTools,1
PDE,1,RCP_Platform,0,WebTools,1
EclipseIDE,0,EclipseLink,0,CVS,1
EclipseIDE,0,EclipseLink,1,CVS,0
PTP,1,RCP_Platform,0,XMLTools,0
PTP,0,RCP_Platform,0,XMLTools,1
BIRT,1,EGit,1,JDT,0
GMF,0,RCP_Platform,0,XMLTools,0
PTP,1,RCP_Platform,0,XMLTools,1
RSE,1,RCP_Platform,0,Datatools,0
RSE,0,RCP_Platform,0,Datatools,1
EclipseIDE,0,EclipseLink,1,CVS,1
RSE,0,RCP_Platform,0,Datatools,0
BIRT,1,EGit,0,JDT,0
GMF,1,RCP_Platform,0,XMLTools,0
GMF,0,RCP_Platform,0,XMLTools,1
EclipseLink,1,CVS,0,RCP_Platform,0
EclipseLink,0,CVS,1,RCP_Platform,0
EclipseIDE,0,PDE,1,CVS,1
